[1796, 35, 125, 2, 22, 20, 5, 10, 1, 4, 20, 129, 185, 221, 100, 0]
[1796, 1, 267, 59, 8, 18, 5, 10, 53, 46, 20, 1786, 0, 0, 0, 0]
[1796, 196, 4, 217, 221, 2, 185, 145, 100, 0, 0, 0, 0, 0, 0, 0]
[1796, 23, 9, 216, 219, 58, 671, 4, 20, 129, 100, 0, 0, 0, 0, 0]
[1796, 95, 20, 5, 10, 53, 46, 71, 9, 2, 129, 247, 100, 0, 0, 0]
[1796, 1, 4, 116, 42, 45, 229, 10, 23, 9, 2, 22, 103, 14, 64, 172]
[1796, 142, 82, 45, 15, 10, 23, 9, 2, 378, 182, 0, 0, 0, 0, 0]
[1796, 16, 4, 181, 133, 14, 16, 4, 34, 252, 114, 0, 0, 0, 0, 0]
[1796, 245, 175, 15, 10, 164, 46, 181, 133, 14, 42, 515, 114, 0, 0, 0]
[1796, 1, 242, 3, 106, 18, 2, 34, 252, 0, 0, 0, 0, 0, 0, 0]
[1796, 106, 18, 10, 164, 46, 34, 252, 114, 0, 0, 0, 0, 0, 0, 0]
[1796, 1, 4, 43, 81, 419, 638, 390, 47, 2, 134, 250, 108, 13, 8, 0]
[1796, 1, 121, 13, 8, 3, 1328, 887, 558, 0, 0, 0, 0, 0, 0, 0]
[1796, 1, 4, 7, 447, 49, 639, 6, 140, 692, 2, 76, 131, 33, 3, 7]
[1796, 1, 128, 13, 99, 42, 90, 76, 131, 923, 6, 250, 58, 2, 29, 182]
[1796, 1, 121, 13, 8, 3, 323, 453, 20, 18, 2, 888, 182, 0, 0, 0]
[1796, 1, 12, 147, 36, 3, 78, 391, 5, 0, 0, 0, 0, 0, 0, 0]
[1796, 1, 12, 147, 1162, 403, 3, 78, 1786, 592, 45, 0, 0, 0, 0, 0]
[1796, 1, 12, 147, 227, 3, 78, 391, 5, 0, 0, 0, 0, 0, 0, 0]
[1796, 78, 391, 5, 10, 1, 12, 1681, 460, 801, 230, 234, 23, 9, 2, 21]
[1796, 1, 12, 357, 9, 801, 230, 2, 147, 1162, 403, 3, 78, 391, 5, 0]
[1796, 23, 9, 593, 26, 5, 10, 1, 160, 364, 249, 14, 1, 765, 240, 0]
[1796, 23, 271, 5, 27, 6, 364, 249, 240, 14, 1577, 327, 0, 0, 0, 0]
[1796, 1577, 327, 364, 249, 14, 1, 248, 240, 0, 0, 0, 0, 0, 0, 0]
[1796, 271, 5, 10, 1, 4, 364, 249, 14, 1, 765, 240, 0, 0, 0, 0]
[1796, 364, 249, 236, 371, 240, 1577, 327, 27, 3, 271, 5, 0, 0, 0, 0]
[1796, 16, 4, 7, 3, 92, 11, 44, 633, 6, 380, 11, 0, 0, 0, 0]
[1796, 16, 4, 633, 6, 140, 34, 11, 2, 86, 34, 297, 36, 3, 92, 11]
[1796, 1, 4, 13, 7, 14, 1, 4, 19, 7, 86, 6, 491, 9, 2, 140]
[1796, 16, 4, 7, 119, 6, 49, 434, 86, 140, 34, 11, 0, 0, 0, 0]
[1796, 16, 4, 134, 49, 434, 2, 7, 14, 16, 24, 140, 34, 11, 0, 0]
[1796, 1, 12, 33, 6, 14, 52, 12, 3, 407, 403, 2, 57, 97, 93, 0]
[1796, 32, 253, 1682, 59, 8, 58, 2, 61, 12, 57, 97, 93, 0, 0, 0]
[1796, 1, 150, 1683, 7, 2, 141, 137, 705, 324, 63, 0, 0, 0, 0, 0]
[1796, 61, 49, 57, 97, 93, 3, 59, 253, 58, 407, 403, 0, 0, 0, 0]
[1796, 83, 72, 372, 15, 2, 57, 97, 93, 0, 0, 0, 0, 0, 0, 0]
[1796, 1, 12, 62, 179, 3, 54, 104, 317, 40, 5, 0, 0, 0, 0, 0]
[1796, 62, 33, 3, 240, 236, 198, 54, 104, 2, 317, 40, 5, 0, 0, 0]
[1796, 1, 12, 62, 33, 3, 240, 236, 198, 54, 104, 2, 317, 40, 5, 0]
[1796, 1, 12, 33, 3, 240, 236, 316, 54, 104, 5, 2, 21, 62, 0, 0]
